ID_Offre,Titre_Poste,Secteur,Entreprise,Ville,Region,Type_Contrat,Experience_Requise,Niveau_Etudes,Modalite_Travail,Salaire_Mensuel_DH,Langues_Requises,Competences_Cles,Date_Publication,Delai_Recrutement_Jours
OFF-0001,Quality Manager,Industrie,Peugeot Maroc,rabat ,Rabat-Salé-Kénitra,contrat CDD,0 à 2 ans,Bac+2,sur site,7600,Français; Arabe,ISO 9001; Lean Manufacturing,2024-05-31,999
OFF-0002,CM,Commerce,Accenture Maroc,Tanjah,Tanger-Tétouan-Al Hoceïma,Cdi,2-5 ans,Sans diplôme requis,PRÉSENTIEL,,Français; Anglais,CRM; Analyse de marché,2024-10-29,999
OFF-0003,Ingénieur de production,Industrie,Maroc Telecom,Casa,Casablanca-Settat,C.D.I,junior,Bac+5 / Master,presentiel,6600-7920,Français; Anglais; Arabe,AMDEC; Lean Manufacturing; ISO 9001,30 April 2024,18
OFF-0004,Marketing Digital,Commerce,ONCF,CASABLANCA,Casablanca-Settat,freelance,junior,Bac+2,Sur site,10100,Français; Anglais,Négociation; Email Marketing; SEO; Excel,2024-10-14,21
,,,,,,,,,,,,,,
OFF-0006,HR Manager,Finance & RH,RENAULT MAROC,Meknes,,Cdi,Expérimenté,Bac+3,HYBRIDE,13700,Français; Arabe,Audit; Excel avancé; Consolidation; SAP; Paie,2024-10-14,23
OFF-0007,frontend developer,IT & Tech,Managem,Tanjah,Tanger-Tétouan-Al Hoceïma,STAGE,2 à 5 ans,Bac+3,presentiel,4093,Français / Arabe,Git; Azure; Agile/Scrum; Node.js; JavaScript,2024-05-31,20
OFF-0008,Resp. Commercial,Commerce,Maroc Telecom,KÉNITRA,Rabat-Salé-Kénitra,contrat CDI,0-2 ans,Bac+5 / Master,sur site,8k,Français,CRM; Analyse de marché; Email Marketing; SEO; Salesforce,11/10/2024,33
OFF-0009,chef de projet,IT & Tech,RAM,marrakech,,CONTRAT CDI,2 à 5 ans,Sans diplôme requis,présentiel,17300,Français; Anglais,Docker; Azure,2024-03-28,34
OFF-0009,chef de projet,IT & Tech,RAM,marrakech,,CONTRAT CDI,2 à 5 ans,Sans diplôme requis,présentiel,17300,Français; Anglais,Docker; Azure,2024-03-28,34
OFF-0011,RESPONSABLE RH,Finance & RH,Atlantic Digital,agadir,Souss-Massa,CDI ,Junior,Bac+5 / Master,presentiel,,Français; Arabe,SAGE; Audit; Droit du travail,2024-07-26,33
OFF-0012,Admin Système,IT & Tech,Capgemini Maroc,casablanca,Casablanca-Settat,cdi,5 à 8 ans,Bac+2,En présentiel,15000 DH,Français,Java / Agile/Scrum,2024-12-27,34 jours
OFF-0013,pharmacien,Santé,PwC Maroc,Casa,Casablanca-Settat,freelancer,2 à 5 ans,Bac+3,hybride,15000,"Français, Anglais, Arabe",Éthique médicale; Diagnostic; Pharmacologie; Soins infirmiers,2024-09-19,11
OFF-0014,INGÉNIEUR GÉNIE CIVIL,BTP,BMCE Bank,Casablanca,,CDI ,0/2 ans,Bac+3,présentiel,,Français; Anglais; Arabe,Revit; Béton armé; AutoCAD; Gestion de chantier,27 June 2024,12
